Under five mortality,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Argentina,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,403.44,403.44,403.44,404.69,405.96,407.24,408.51,409.79,405.96,402.19,399.7,395.95,392.21,393.46,395.95,397.2,399.69,400.9,392.11,383.46,374.86,366.3,357.85,350.61,337.4,324.69,312.46,300.69,289.37,278.47,267.98,257.88,248.17,238.82,229.61,205.35,195.97,194.09,194.09,201.61,220.33,212.85,199.73,179.05,171.55,171.55,179.05,188.45,184.69,197.85,173.43,162.22,149.26,149.26,140.15,125.87,143.77,160.34,143.76,140.12,154.75,131.15,131.14,122.32,124.07,113.66,115.37,117.1,103.47,110.22,95.18,91.93,93.53,91.92,88.72,85.66,81.15,84.17,76.5,93.51,82.65,77.78,73.2,68.9,64.84,61.02,57.43,57.43,58.63,58.52,58.32,73.2,72.4,71.5,70.4,68.8,66.6,63.8,60.2,55.9,51.4,47,43.1,40,37.6,35.8,34.4,33.1,31.9,30.8,29.7,28.6,27.6,26.6,25.7,24.8,24.1,23.4,22.7,22,21.4,20.8,20.2,19.7,19.2,18.6,17.9,17.1,16.4,15.8,15.4,15,14.6,14.2,13.8,13.3,12.9,12.5
Armenia,371.2,370.71,370.23,369.75,369.26,368.78,368.3,367.82,367.34,366.86,366.38,365.9,365.42,364.94,364.46,363.99,363.51,363.04,362.56,362.09,361.62,361.14,360.67,360.2,359.73,359.26,358.79,358.32,357.85,357.38,356.92,356.45,355.98,355.52,355.05,354.59,354.13,353.66,353.2,352.74,352.28,351.82,351.36,350.9,350.44,349.98,349.53,349.07,348.61,348.16,347.7,347.25,346.79,346.34,345.89,345.43,344.98,344.53,344.08,343.63,343.18,342.73,342.29,341.84,341.39,340.95,340.5,340.06,339.61,339.17,338.72,338.28,337.84,337.4,336.96,336.52,336.08,335.64,335.2,334.76,334.32,333.89,333.45,333.01,332.58,332.14,331.71,331.28,330.84,330.41,329.98,329.55,329.12,328.69,328.26,327.83,327.4,326.97,326.54,326.12,325.69,321.82,317.99,314.21,310.48,306.78,303.14,299.53,295.97,292.45,288.98,285.54,282.15,278.79,275.48,272.2,268.97,265.77,262.61,259.49,256.4,253.35,250.34,247.37,244.43,241.52,238.65,235.81,233.01,230.24,227.5,219.34,211.48,203.89,196.58,189.53,182.74,176.19,169.87,163.78,157.91,152.24,146.78,141.52,136.45,131.55,126.84,122.29,117.9,113.68,109.6,108.04,105.22,102.27,99.28,95.57,92.43,89.22,85.95,82.78,79.1,76.08,73.11,69.69,66.85,63.58,60.86,63.13,65.49,67.93,70.47,73.1,75.83,78.66,81.59,84.64,87.8,84.3,81,77.8,74.8,71.8,69.1,66.4,63.8,61.4,59,56.6,81.6,52,49.7,47.4,45.1,42.8,40.6,38.6,36.7,34.9,33.2,31.6,30.1,28.6,27.2,25.9,24.6,23.3,22.2,21.1,20,19,18,17.2,16.3,15.5,14.9,14.2
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.34,25.4,24.6,23.96,23.48,23.14,22.91,22.76,22.62,22.5,22.36,22.23,22.1,22,21.91,21.83,21.76,21.68,21.6,21.49,21.35,21.15,20.89,20.57,20.2,19.8,19.37,18.95,18.55,18.18,17.84,17.55,17.28,17.03,16.8,16.57
Australia,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,359.68,330.87,304.37,280,257.57,236.94,217.97,200.51,184.45,169.68,156.65,182.81,175.3,195.97,222.2,184.69,199.73,207.23,177.18,180.93,179.05,214.72,188.45,195.97,201.61,197.85,179.05,179.05,209.1,162.22,177.18,160.37,179.05,156.65,151.1,175.3,158.51,201.61,179.05,149.27,156.65,162.22,169.68,117.16,117.16,118.9,115.43,110.29,100.18,105.26,93.7,100.34,100.4,98.79,93.91,97.25,75.34,80.07,95.76,95.81,89.67,71.5,80.09,76.67,70.37,70.88,72.98,72.31,68.89,64.51,55,54.32,54,58.82,54.35,56.63,51.45,51.25,51.3,51.02,53.41,52.42,51.21,42.21,38.68,39.3,36.52,34.65,32.2,31.6,31,30.3,29.5,28.7,28,27.3,26.6,26,25.4,24.8,24.3,23.7,23.2,22.7,22.4,22.1,22,21.9,21.7,21.4,20.9,20.2,19.4,18.4,17.3,16.2,15.3,14.4,13.6,13,12.5,12.2,11.9,11.6,11.3,11,10.6,10.2,9.7,9.2,8.6,8.1,7.7,7.3,7,6.8,6.6,6.5,6.4,6.2,6.1,6,5.9,5.9,5.7,5.6,5.4,5.2,5,4.8,4.5,4.2,4,3.7,3.5
Austria,387.32,373.01,359.22,345.95,333.16,320.85,308.99,325.26,315.5,299.15,302.43,307.34,295.89,302.43,326.89,305.71,289.32,292.6,294.24,307.34,299.15,300.8,321.99,297.52,312.26,320.37,317.13,294.24,305.71,284.37,385.13,436.85,394.8,422.24,440.1,402.88,383.5,410.94,389.96,414.12,396.42,407.72,398.04,420.61,373.78,401.27,407.72,403.37,399.06,394.8,407.72,393.18,393.18,368.92,443.35,451.47,391.57,388.35,406.11,412.55,385.13,428.73,406.11,420.61,406.11,438.48,451.47,410.94,402.88,393.18,410.94,414.12,438.48,470.96,422.24,394.8,401.27,418.99,409.33,389.96,406.11,406.11,415.74,410.94,401.27,414.12,406.11,396.42,404.5,383.5,420.61,394.8,420.61,377.02,407.72,391.57,373.78,370.54,364.1,356.05,375.39,339.88,351.19,349.57,341.52,375.39,328.51,339.88,323.63,339.88,307.34,336.63,294.24,308.99,279.42,354.43,312.26,302.43,313.89,253.24,253.24,253.24,253.24,227.77,201.61,184.69,192.21,195.97,186.57,173.43,156.65,154.8,160.37,138.36,134.77,147.43,136.56,134.77,113.71,101.85,103.53,96.88,103.53,112,127.65,263.54,115.43,104.5,92.09,86.87,75.32,69.81,59.54,56.57,54.9,53.3,51.7,49.9,47.8,45.5,42.9,40.2,37.9,35.9,34.2,32.7,31.5,30.5,29.8,29.3,29,28.7,28,26.8,25.1,23.1,21.1,19.4,18.1,17.1,16.3,15.5,14.8,14.1,13.3,12.6,11.8,11.1,10.5,10,9.5,9,8.5,8,7.4,6.8,6.4,6,5.8,5.6,5.5,5.4,5.3,5.2,5,4.9,4.8,4.6,4.6,4.5,4.4,4.2,4,3.9,3.7,3.5
Azerbaijan,384,383.21,382.43,381.65,380.87,380.09,379.31,378.54,377.76,376.99,376.22,375.45,374.68,373.92,373.15,372.39,371.63,370.87,370.11,369.35,368.6,367.84,367.09,366.34,365.59,364.84,364.1,363.35,362.61,361.87,361.13,360.39,359.65,358.92,358.18,357.45,356.72,355.99,355.26,354.54,353.81,353.09,352.37,351.65,350.93,350.21,349.49,348.78,348.06,347.35,346.64,345.93,345.23,344.52,343.82,343.11,342.41,341.71,341.01,340.32,339.62,338.92,338.23,337.54,336.85,336.16,335.47,334.79,334.1,333.42,332.74,332.06,331.38,330.7,330.02,329.35,328.68,328,327.33,326.66,326,325.33,324.66,324,323.34,322.68,322.02,321.36,320.7,320.05,319.39,318.74,318.09,317.44,316.79,316.14,315.49,314.85,314.2,313.56,312.92,309.88,306.87,303.89,300.94,298.02,295.12,292.25,289.42,286.61,283.82,281.06,278.33,275.63,272.95,270.3,267.68,265.08,262.5,259.95,257.43,254.93,252.45,250,247.57,245.17,242.79,240.43,238.09,235.78,233.49,227.83,222.31,216.93,211.67,206.54,201.54,196.65,191.89,187.24,182.7,178.27,173.95,169.76,165.67,161.68,157.79,153.98,150.27,146.65,143.12,141.34,137.45,134.14,130.7,127.13,123.48,119.71,115.86,112.09,108.36,104.74,100.56,97.06,93.61,90.2,86.86,83.54,80.41,77.44,75.11,72.93,71.36,74.39,77.55,80.85,84.29,87.87,91.6,95.5,120.86,120.54,108.2,105.7,103.3,101.1,99,97.2,95.8,94.9,94.7,95,95.4,95.7,95.5,94.3,92.1,88.6,84.2,79.3,74,68.8,63.8,59.3,55.2,51.7,48.6,45.8,43.3,41,39,37.3,35.7,34.2,32.9,31.7
Bahamas,471.04,466.97,462.94,458.94,454.98,451.05,447.15,443.29,439.47,435.67,431.91,428.18,424.48,420.81,417.18,413.58,410.01,406.47,402.96,399.48,396.03,392.61,389.22,385.86,382.52,379.22,375.95,372.7,369.48,366.29,363.13,359.99,356.88,353.8,350.74,347.72,344.71,341.74,338.79,335.86,332.96,330.08,327.23,324.41,321.61,318.83,316.08,313.35,310.64,307.96,305.3,302.66,300.05,297.46,294.89,292.34,289.82,287.31,284.83,282.37,279.94,277.52,275.12,272.75,270.39,268.06,265.74,263.45,261.17,258.92,256.68,254.46,252.27,250.09,247.93,245.79,243.66,241.56,239.47,237.41,235.36,233.32,231.31,229.31,227.33,225.37,223.42,221.49,219.58,217.68,215.8,213.94,212.09,210.26,208.44,206.64,204.86,203.09,201.34,199.6,197.87,196.17,194.47,192.79,191.13,189.48,187.84,186.22,184.61,183.02,181.44,179.87,178.32,176.78,175.25,173.74,172.24,170.75,169.27,167.81,166.36,164.93,163.5,162.09,160.69,159.3,157.93,156.56,155.21,153.87,152.54,151.23,149.92,148.62,147.34,146.07,144.81,143.56,142.32,141.09,139.87,138.66,137.46,136.28,135.1,133.93,132.78,131.63,130.49,129.37,128.25,126.56,123.51,120.35,117.08,113.69,110.25,106.7,103.09,90.93,80.21,70.75,62.41,55.05,48.56,42.84,37.79,33.33,29.4,30,30.6,31.2,31.7,32.1,32.2,32.2,31.9,31.5,31,30.5,29.9,29.4,28.9,28.6,28.2,27.9,27.3,26.5,25.6,24.6,23.5,22.5,21.6,20.6,19.6,18.7,17.8,17,16.4,15.9,15.7,15.5,15.5,15.4,15.4,15.3,15.1,14.8,14.5,14.2,13.9,13.5,13.2,12.8,12.4,12.1
Bahrain,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.78,439.75,439.68,439.56,439.39,439.15,438.84,438.46,438.01,437.5,436.91,436.26,435.54,434.75,433.89,432.97,432.01,431.01,429.99,428.96,427.92,426.89,425.84,424.78,423.72,422.66,421.61,420.56,419.5,418.44,417.39,416.33,415.28,414.23,413.16,412.11,411.06,410.01,408.95,407.89,406.84,405.79,396.14,386.74,376.33,367.25,358.32,349.59,339.9,331.45,323.16,315.02,305.99,305.98,305.97,305.96,305.95,305.94,305.93,305.92,305.91,305.9,281.4,258.6,237.8,218.3,200,183.1,167.2,152.6,138.9,126.3,114.7,104,94.1,85,76.8,69.3,62.7,56.9,51.8,47.4,43.6,40.2,37.2,34.6,32.3,30.3,28.6,27.2,25.9,24.9,24.2,23.6,23.3,23.2,23,22.7,22,21,19.6,18.1,16.6,15.2,14.1,13.2,12.6,12.1,11.8,11.5,11.2,10.9,10.5,10,9.4,8.8,8.3,7.8,7.3,6.9,6.5,6.2
Bangladesh,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,510.9,515.42,518.51,521.6,524.7,529.34,532.48,535.66,540.44,543.62,545.21,546.81,550.09,551.72,553.36,555,556.64,559.91,561.5,563.05,562.91,564.37,564.07,565.35,564.87,565.97,565.31,566.23,565.38,566.12,561.75,558.97,554.46,550.01,545.56,542.7,538.23,533.79,530.94,526.6,522.28,519.52,515.22,510.94,506.72,504.03,499.87,495.73,493.07,488.96,477.78,465.42,454.69,442.86,432.61,421.27,411.39,400.49,391.03,380.55,371.42,361.32,352.56,342.84,334.36,336.41,338.48,340.56,342.65,344.75,346.87,349,351.14,353.3,342.9,332.7,322.9,313.1,304.1,295.4,287.1,279.1,271.5,264.3,257.5,251.3,245.6,240.4,236,232.3,229.4,227.1,225.4,224.1,223,222,220.7,219.1,217.1,214.5,211.2,207.4,203.3,198.9,194.2,189.4,184.4,179.1,173.5,167.7,161.8,155.8,149.7,143.7,137.7,131.7,125.8,119.9,114.2,108.6,103.2,97.9,92.8,88,83.5,79,74.8,70.7,66.8,63,59.4,55.9,52.6,49.6,46.7,44,41.6,39.5,37.6
Barbados,469.76,471.42,473.08,474.74,476.42,478.1,479.78,481.47,483.17,484.87,486.58,488.3,490.02,491.74,493.48,495.22,496.96,498.71,500.47,502.23,504,505.78,507.56,509.35,511.15,512.95,514.76,516.57,518.39,520.22,522.05,523.89,525.74,527.59,529.45,531.32,533.19,535.07,536.95,538.85,540.75,542.65,544.56,546.48,548.41,550.34,552.28,554.23,556.18,558.14,560.11,562.08,564.06,566.05,568.05,570.05,572.06,574.07,576.1,578.13,580.16,582.21,584.26,586.32,588.39,590.46,592.54,594.63,596.73,598.83,600.94,603.06,605.18,607.32,609.46,611.6,613.76,615.92,618.09,620.27,622.46,624.65,626.85,629.06,631.28,633.5,635.74,637.98,640.23,642.48,644.75,647.02,649.3,651.59,653.88,656.19,658.5,660.82,663.15,665.49,667.83,670.19,672.55,674.92,677.3,679.68,682.08,490.44,518.05,409.33,435.23,427.11,675.58,394.8,654.47,313.95,393.32,469.58,333.64,572.15,438.95,652.04,304.52,598.59,484.82,507.68,511.03,327.65,538.89,389.39,376.47,485.42,323.03,383.18,417.23,359.01,323.26,354.26,360.8,316.91,293.96,365.86,285.8,268.22,279.25,241.99,261.66,271.65,251.22,204.75,197.23,218.02,234.91,223.75,168.8,145.5,126.4,111.2,99.5,90.6,83.6,78,73.2,68.7,64.7,61.3,58.2,55.5,53,50.5,48.1,45.8,43.4,41.1,38.9,36.7,34.6,32.6,30.6,28.9,27.2,25.8,24.6,23.6,22.8,22,21.2,20.4,19.5,18.7,17.9,17.2,16.6,16.1,15.7,15.5,15.4,15.5,15.7,16,16.3,16.6,16.8,16.8,16.7,16.5,16.2,15.8,15.4,15.1,14.7,14.4,14.1,13.7,13.3,13
Belarus,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.66,365.63,365.57,365.48,365.33,365.13,364.88,357.54,350.25,344.11,336.9,329.7,322.57,316.55,309.48,302.48,295.52,289.7,282.88,276.18,269.56,264,257.56,251.18,244.92,238.73,233.55,227.53,221.58,215.73,210.81,205.13,199.51,193.97,189.32,183.89,178.58,173.32,168.95,163.84,158.82,153.87,148.98,144.93,140.18,135.53,130.94,127.12,122.67,118.28,113.99,110.4,106.25,102.16,98.13,94.81,91.06,87.46,84,80.67,77.48,74.42,71.47,68.64,65.93,63.32,46.42,39.53,40.24,40.64,33.42,29.77,28.91,27.28,26.82,25.85,27.88,23.51,23.15,23.06,22.72,25.41,24.64,23.79,24.38,22.73,23.3,22.2,21.3,20.6,20,19.4,18.8,18.1,17.4,16.9,16.6,16.6,16.8,17.1,17.5,17.9,18,17.8,17,15.8,14.4,13,11.8,10.9,10.1,9.4,8.7,7.9,7.2,6.6,6.1,5.6,5.2,4.9,4.6,4.4
Belgium,322.4,322.4,322.4,322.4,322.4,322.4,322.4,321.31,321.31,321.31,321.31,321.31,321.31,321.31,321.31,321.31,321.31,321.31,321.31,320.22,320.22,320.22,320.22,320.22,320.22,319.41,318.61,317.81,317.01,316.21,315.42,314.63,313.84,313.05,312.26,271.62,281.07,300.8,308.99,300.8,295.89,275.42,293.2,274.85,250.22,261.46,293.87,304.51,270.11,291.56,243.69,258.48,258.26,254.07,280.3,308.01,278.97,283.3,279.36,292.26,223.96,273.42,258.87,280.07,289.19,317.52,319.82,258.3,270.42,264.52,275.02,340.46,294.28,252.14,243.57,272.75,250.5,240.43,239.64,246.28,274.72,241.85,233.55,235.39,249.02,230.3,265.88,231.58,248.31,251.04,256.22,255.4,261.84,255.38,225.88,246.82,217.03,210.76,224.04,240.18,234.54,204.05,207.91,212.8,212.37,202.03,210.45,188.63,207.03,195.89,193.81,218.25,176.56,179.38,205.35,195.97,179.05,224.05,212.85,183.19,160.18,157.54,146.28,130.14,120.2,129.53,131.97,125.78,120.8,140.3,129.29,109.9,115.19,112.02,100.38,102.51,105.18,102.86,102.16,100.13,106.74,103.62,103.54,97.67,101.87,118.2,94.02,77.85,67.76,63.74,59.32,55.94,51.25,51.2,48.3,45.5,42.8,40.1,37.7,35.6,33.9,32.4,31.1,30,28.9,27.9,27,26.2,25.5,24.8,24,23,21.9,20.8,19.6,18.6,17.6,16.7,15.9,15.2,14.5,13.9,13.3,12.7,12.2,11.8,11.4,11,10.7,10.3,10,9.6,9.2,8.7,8.2,7.6,7.1,6.7,6.3,6,5.8,5.6,5.4,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5,4.4,4.4,4.3,4.2,4.1
Belize,467.2,463.87,460.56,457.28,454.02,450.79,447.57,444.38,441.22,438.07,434.95,431.85,428.77,425.71,422.68,419.67,416.68,413.71,410.76,407.83,404.92,402.04,399.17,396.33,393.5,390.7,387.91,385.15,382.4,379.68,376.97,374.28,371.62,368.97,366.34,363.73,361.13,358.56,356,353.47,350.95,348.45,345.96,343.5,341.05,338.62,336.2,333.81,331.43,329.07,326.72,324.39,322.08,319.78,317.5,315.24,312.99,310.76,308.55,306.35,304.17,302,299.85,297.71,295.59,293.48,291.39,289.31,287.25,285.2,283.17,281.15,279.15,277.16,275.18,273.22,271.27,269.34,267.42,265.51,263.62,261.74,259.88,258.02,256.19,254.36,252.55,250.75,248.96,247.18,245.42,243.67,241.94,240.21,238.5,236.8,235.11,233.44,231.77,230.12,228.48,226.85,225.24,223.63,222.04,220.45,218.88,217.32,215.77,214.23,212.71,211.19,209.69,208.19,206.71,205.23,203.77,202.32,200.88,199.45,198.02,196.61,195.21,193.82,192.44,191.07,189.71,188.35,187.07,185.8,184.53,183.28,182.03,180.79,179.56,178.34,177.12,175.92,174.72,173.53,172.35,171.17,170.01,168.85,167.7,166.56,165.43,164.3,163.18,162.07,160.97,158.35,154.27,149.32,144.98,139.82,135.27,129.97,125.25,120.66,115.52,114.7,113.88,113.08,112.27,111.48,110.69,109.9,105.5,101.3,97.3,93.5,89.7,86.3,83,79.9,77,74.2,71.4,68.9,66.4,63.9,61.4,58.9,56.2,53.5,50.6,47.7,44.9,42.2,39.6,37.2,35,33.1,31.5,30.1,28.8,27.8,26.7,25.8,25,24.2,23.5,22.8,22.2,21.7,21.2,20.6,20.1,19.5,19,18.5,18,17.5,17,16.5
Benin,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.46,430.45,430.42,430.35,430.24,430.07,429.83,429.53,429.16,428.72,428.22,427.64,427,426.3,425.52,424.68,423.78,422.84,422.02,421.18,420.33,419.47,418.62,417.77,416.91,416.06,415.2,414.34,413.49,412.63,411.77,410.91,410.05,409.19,408.32,407.46,406.6,405.73,404.87,404,403.13,402.27,401.4,400.53,399.66,398.79,397.92,397.04,391.87,386.76,381.71,376.73,365.3,361.4,358,354.5,351.3,348.2,345.1,342.1,339,335.9,332.7,329.5,326.2,322.5,318.4,314,309.2,303.9,298.2,292.5,286.9,281.4,276.9,272.8,269,265.5,261.8,257.8,253.4,248.3,242.7,237,231.3,226.1,221.5,217.4,213.7,210.2,206.8,203.3,199.7,196.1,192.2,188.1,183.9,179.5,175,170.4,166.2,162.4,159.1,156.2,153.6,150.9,147.9,144.7,141.1,137.1,133.1,129.2,125.5,122.1,119,116.3,113.9,111.6,109.3,107,104.8,102.1,99.5
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,463.36,462.97,462.59,462.2,461.82,461.43,461.05,460.66,460.28,459.9,459.51,459.13,458.75,458.37,457.99,457.6,457.22,456.84,456.46,456.08,455.7,455.32,454.94,454.56,454.18,453.81,453.43,453.05,452.67,452.3,451.92,451.54,451.17,450.79,450.41,450.04,449.66,449.29,448.92,448.54,448.17,447.79,447.42,447.05,446.68,446.3,445.93,445.56,445.19,444.82,444.45,444.08,443.71,443.34,442.97,442.6,442.23,441.86,441.5,441.13,440.76,440.39,440.03,439.66,439.29,438.93,438.56,438.2,437.83,437.47,437.1,436.74,436.37,436.01,435.65,435.28,434.92,434.56,434.2,433.84,433.47,433.11,432.75,432.39,432.03,431.67,431.31,430.95,430.59,430.24,429.88,429.52,429.16,428.8,428.45,428.09,427.73,427.38,427.02,426.66,426.31,425.95,425.6,425.24,424.89,424.54,424.18,423.83,423.48,423.12,422.77,422.42,422.07,421.72,421.36,421.01,420.66,420.31,419.96,419.61,419.26,418.91,418.56,418.22,417.87,417.52,417.17,416.82,416.48,416.03,415.59,415.15,414.7,414.26,413.82,413.38,412.94,412.49,412.05,411.61,411.18,410.74,410.3,409.86,409.42,408.99,408.55,408.11,407.68,407.24,406.81,403.18,398.42,391.99,385.1,379,371.31,363.27,354.87,347.3,339.89,332.63,325.53,318.58,311.78,305.13,298.61,292.24,286,278.6,271.5,264.2,256.7,249.5,242.4,235.5,228.4,221.3,214.1,206.9,199.8,193,185.9,178.9,172.1,165.2,158.8,152.2,145.9,139.8,133.7,127.8,122,116.4,110.8,105.3,99.8,94.5,89.4,84.4,79.6,75,70.6,66.4,62.3,58.5,54.8,51.3,48.1,45.1,42.3,39.9,37.8,36,34.4,32.9
