"Name","Team","POS","Salary","Years","Total.Value","Avg.Annual"
"Luis Cessa","NYY","RF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Luis Perdomo","SD","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Manny Banuelos","ATL","SP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Matt Bowman","STL","SP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Matt Wisler","ATL","SP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Ross Stripling","LAD","SP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Ryan Dull","OAK","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Scott Schebler","CIN","LF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Tony Wolters","COL","C","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Trevor Story","COL","SS","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Tyler Goeddel","PHI","RF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Tyler Naquin","CLE","CF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Tyler White","HOU","1B","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Yorman Rodriguez","CIN","CF","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
"Zach Jones","MIL","RP","$ 507,500","1 (2016)","$ 507,500","$ 507,500"
